Station,Connected Station,Distance
Noida Sector 148,Knowledge Park II,2.5
Knowledge Park II,Noida Sector 148,2.5
Knowledge Park II,Pari Chowk Greater Noida,1.1000000000000014
Pari Chowk Greater Noida,Knowledge Park II,1.1000000000000014
Pari Chowk Greater Noida,Alpha 1 Greater Noida,0.8999999999999986
Alpha 1 Greater Noida,Pari Chowk Greater Noida,0.8999999999999986
Alpha 1 Greater Noida,Delta 1 Greater Noida,1.5
Delta 1 Greater Noida,Alpha 1 Greater Noida,1.5
Delta 1 Greater Noida,GNIDA Office,1.3000000000000007
GNIDA Office,Delta 1 Greater Noida,1.3000000000000007
GNIDA Office,Depot Greater Noida,0.9000000000000021
Depot Greater Noida,GNIDA Office,0.9000000000000021
Nangli,Dwarka,1.5
Nangli,Najafgarh,2.4
Najafgarh,Nangli,2.4
